granted by,iOS,Category,Android,granted by,protection level
,,DeviceManagement,MANAGE_DEVICE_POLICY_MTE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_NEARBY_COMMUNICATION,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_NETWORK_LOGGING,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_ORGANIZATION_IDENTITY,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_OVERRIDE_APN,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_PACKAGE_STATE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_PHYSICAL_MEDIA,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_PRINTING,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_PRIVATE_DNS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_PROFILE_INTERACTION,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_PROFILES,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_PROXY,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_QUERY_SYSTEM_UPDATES,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_RESET_PASSWORD,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_RESTRICT_PRIVATE_DNS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_RUN_IN_BACKGROUND,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_RUNTIME_PERMISSIONS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_SAFE_BOOT,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_SCREEN_CAPTURE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_SCREEN_CONTENT,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_SECURITY_LOGGING,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_SETTINGS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_SMS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_STATUS_BAR,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_SUPPORT_MESSAGE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_SUSPEND_PERSONAL_APPS,devicemanager,
